,id,chat_history,gt_response,RLPA_response,blenderbot_response
13,13,"[usr] my husband lost a job but i'm hoping he can find a full time job soon [sys] He will, I have faith. [usr] thank you so much!",No problem. What kind of work does he do?,"You're welcome.  Keep your head up, I'm sure he will find something soon.",I also have faith that he will find a good job as soon as he can get one.
14,14,[usr] i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!,Thats not good. Do you own a gun?,Oh wow.  That sounds like a scary situation.  I hope they caught them!?,That sounds really scary! I hope they weren't too bad to hurt you or your property.
15,15,[usr] i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods! [sys] Thats not good. Do you own a gun? [usr] I do! I want to be able to protect my son,That is always number one goal.,You sound like a great parent.  What do you think you're going to do to protect your son?,Thats a good reason to have a gun. Hopefully you can teach your son to defend himself.
16,16,[usr] i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years,3 years is a long time. How come?,That's awesome! I hope you two have a great time together. What are you visiting them for?,Wow that is a long time to be apart. I bet you are looking forward to it.
17,17,[usr] i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years [sys] 3 years is a long time. How come? [usr] I moved to the US and they stayed in my homecountry,"Oh I see. They must miss you, too.","Oh, I see. Well, I am sure they are excited to see you as well!","Oh, well that's exciting! I visited my parents a few years ago, they live in my hometown, too."
18,18,[usr] I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident,That isn't very nice.,That is so aggravating! I have had that happen to me as well.,"I would have been too.  That was so close to the holidays, too!"
19,19,[usr] I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident [sys] That isn't very nice. [usr] Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.,Yes. I do not have a Facebook.,I am not a fan of people who lie.  What did you do after he lied?,I'm not a fan of people who take pictures of other people's things. It's really not nice.
20,20,"[usr] So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer",Thats horrible.,That is a huge bummer. I hate when that happens. You should have cancelled and gone to a different store.,"Wow, that is a huge difference. I am sure you will not make that mistake again."
21,21,"[usr] So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer [sys] Thats horrible. [usr] Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!",Yes I do not like walmart.,I hate when that happens. You should call and see if they can give you a discount.,I hate it when that happens. Especially when you have something else pictured in your wallet.
22,22,"[usr] My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!",Thats horrible. Did you tell on him?,"He knows you're there for him, and that's great that you have that kind of relationship with him.","Well that wasn't very nice of him. You're right though, it's good to have loyal friends."
23,23,"[usr] My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both! [sys] Thats horrible. Did you tell on him? [usr] I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!",Thats a tough situation.,Love is a hard thing to come by. I am glad she has a good friend like you.,Love is a hard thing to come by. I hope everything works out for him and her.
24,24,[usr] my baby is sleeping. it's so peaceful and quiet in this house,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it.",That's awesome. Enjoy it while it lasts. They'll be running around soon.,That is a blessing. Enjoy it while it lasts because it goes so fast!
25,25,"[usr] my baby is sleeping. it's so peaceful and quiet in this house [sys] I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. [usr] i totally agree with you!",That's a full time job raising a human,Wonderful! What are you going to do with your free time now that the baby is asleep?,I have a 2 year old. She's a handful but I wouldn't have it any other way.
26,26,"[usr] hi, i feel so lonely sometimes because all my friends live in a different country","Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",I'm sure you'll make some new friends in the meantime. Country living isn't for everyone!,Oh that's too bad. I bet you wish you could go back to them and see them.
27,27,"[usr] hi, i feel so lonely sometimes because all my friends live in a different country [sys] Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends? [usr] i was thinking about it! I wanted to join a group for local moms","That's a good idea! This way you can also meet friends for yourself, but also maybe meet new friend's for your children to hang out with while you do with their moms!",That's a great idea! I bet your local mom's would love to have someone to talk to about everything.,That's a great idea! I bet you could meet a lot of new friends that way.
28,28,"[usr] I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.",oh man. i'm all about discipline! I don't like spoiled bratty kids,"That would make me so mad, I don't know why people have kids if they aren't going to take care of themselves.",That would really irritate me as well. I don't know why people have kids!
29,29,"[usr] I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things. [sys] oh man. i'm all about discipline! I don't like spoiled bratty kids [usr] Me either! I have two of my own children, and I would have never let them get away with that kind of behavior when they were his age. I just don't understand those kind of parents@!","yes, i've heard some parents don't ever say no to their kids. makes no sense",they'll figure it out at some point. you just have to keep a cool head and be patient,"I have a two year old and a one year old. I agree, they need to learn some manners."
30,30,[usr] I'm so scared of bugs! i found one in my hair yesterday and almost died,ok,"I know what you mean, they are so creepy and you don't know what to do with them.","I hate bugs too. Especially if they are in your hair, where did you find it?"
31,31,"[usr] I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her.",Did things end amicably? I hope everything is good now!,I'm glad the conversation went well. Hopefully you can get back together with her one day.,I hear you there.  I still have feelings for my ex as well.  How did the conversation go?
32,32,"[usr] I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her. [sys] Did things end amicably? I hope everything is good now! [usr] Yes, they ended somewhat well, but there were tense moments. I am glad she's doing well, but I miss her.","I understand that, I hope things work out well for you both in the end!",I can understand that. Was there any tension that you felt you had to work through?,I can understand why you would miss her! But I think it is good that you can remember the good times.
33,33,[usr] One of the times I remember feeling the most blissed out in life was right after the birth of my first child.,That is a very blessed day. It is something you will never forget.,"Do you have a second child? If so, what was it like having a fourth?","Yeah, I can imagine. It must have been a very happy moment for you and your family."
34,34,"[usr] One of the times I remember feeling the most blissed out in life was right after the birth of my first child. [sys] That is a very blessed day. It is something you will never forget. [usr] Obviously there are the demands of a new child -- but that feeling of finally meeting someone you waited so long for, and the love surrounding the whole situation. Truly something to remember.","Yes, I couldn't agree more. It is remarkable how your feeling suddenly change.",Absolutely. I am glad you had that experience. Children are a blessing.,Absolutely. There is nothing like that pride and joy that comes with being a new parent.
35,35,[usr] Have you ever been in a situation when payment of some kind has come through *just* in the nick of time?! Talk about gratitude!,I bet that must have been nerve wracking until it happened.,Yes! I once had a car payment go unexpectedly! I was so happy!,Yes! I once had a car payment go unexpectedly. I was so happy!
36,36,[usr] Have you ever been in a situation when payment of some kind has come through *just* in the nick of time?! Talk about gratitude! [sys] I bet that must have been nerve wracking until it happened. [usr] Absolutely. You go from scared and desperate to grateful and optimistic in one quick moment! It's not a situation I wish to be in again.,Oh I'm sure. I would not like to be in a situation like that. Good thing everything worked out for you.,I don't think I would be able to stop worrying if that happened to me. I'm glad it worked out for you.,You sound very level headed about it. I'd say that's a good attitude to have.
37,37,[usr] Im so grateful for my family due to an incident with my friend,Oh really? What happened with your family and friend then?,"Are you talking about your friend, or your family? And what happened, if you don't mind me asking?",I'm glad you and your friend are safe. What happened if you don't mind me asking.
38,38,[usr] Im so grateful for my family due to an incident with my friend [sys] Oh really? What happened with your family and friend then? [usr] My friend lost her parents and siblings in a fire and their family was very close to mine. So seeing her go through the grief made me realize how thankful I should be,"Oh wow, that's awful. Stuff like that really teaches you to appreciate what you've got and to not take it for granted.","I'm sorry to hear about your friend, but I'm glad you and your friend are there for each other.","Wow, I can't imagine how hard that must have been. I'm glad you're able to see the good in things like that and not take it for granted."
39,39,"[usr] I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on.","I agree, someimes we just know","I'm sorry to hear that. Sometimes it's hard to know whether to trust people, but sometimes it's good to take a leap of faith.",Sometimes it's good to take a leap of faith and do what you think is right.
40,40,"[usr] I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on. [sys] I agree, someimes we just know [usr] It is a knowing -- and a flowing! When something is right, it just feels easier to go with it -- like you're being led, even if you might not fully know to where.","exactly, i get that entirely!","That's a good way of looking at it, thank you for that :) I wish you the best","Yes, sometimes you have to just take a leap of faith and hope for the best."
41,41,[usr] I couldnt celebrate my 18th birthday as I had exams during the time and I felt terrible for it. But my friends threw a surprise party for me and it was the best!,That's great! How did they surprise you?,Happy Early Birthday!  Did you have a good time at your friends' party?,Happy Early Birthday!  I'm glad you had fun.  What did you do to celebrate?
42,42,[usr] I couldnt celebrate my 18th birthday as I had exams during the time and I felt terrible for it. But my friends threw a surprise party for me and it was the best! [sys] That's great! How did they surprise you? [usr] I was studying in my bedroom for a couple of hours straight with headphones on and then my mom called me to the living room for dinner and when I went out the whole place was decorated and everyone was there,"That is so sweet of them, I hope you enjoyed it!",Oh wow! That sounds like a lot of fun. I'm glad you had such a fun time.,Oh wow! That sounds like a lot of fun. I hope you did well on your exams.
43,43,[usr] I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely,"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely.",I can understand your feelings.  Maybe you should talk to them and find a way to hang out with them.,I can understand the feeling.  Maybe you can invite them out for a drink or something.
44,44,"[usr] I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely [sys] Awww, That sucks man. Hopefully they don't say mean things to you about being lonely. [usr] Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes",Well i used to be lonely a lot but i eventually found someone. I think you will too.,"Yeah, well you don't want to come off as needy or needy, you know?","Yeah, I can relate to that. But 5 girls is a lot to deal with all at once!"
45,45,"[usr] As silly as it sounds, I was so surprised at how different my two kids were as babies. You're reminded that they're wired with their own personalities from the git-go.","Yeah that is always odd to me, before they can talk they are already unique!",That is so true. I have a 2 year old and a 4 year old. I can't believe it.,It's funny how kids can be so different even though they're babies and it seems like they're the same age for so long.
46,46,"[usr] As silly as it sounds, I was so surprised at how different my two kids were as babies. You're reminded that they're wired with their own personalities from the git-go. [sys] Yeah that is always odd to me, before they can talk they are already unique! [usr] One was pacifier, one was fingers. One wanted to co-sleep, one liked her space. One liked facing *out* in the Baby Bjorn carrier, one liked cocooning in a sling!","That is how it goes, sometimes you can just figure them out immediately","That is so cool!  I love how your kids have so much in common, it's so cool to watch them grow up!",Haha that is so cute!  It is amazing how they can tell when someone is lying about something just by looking at them!
47,47,[usr] The other day I had a deep craving for Chik-Fil-A.,"I understand that one,they are my favorite place to eat",That sounds so good right now. I haven't eaten there in forever. What did you get?,"I've never been there, but I've heard good things.  We don't have them here in the midwest."
48,48,"[usr] The other day I had a deep craving for Chik-Fil-A. [sys] I understand that one,they are my favorite place to eat [usr] Mine too. So I drive there and pull in the parking lot and it's completely empty. I then realized it was Sunday.",That has happened to me too many times to count,"sunday is the best day to go there, I can just hang out and not have to do anything","I have never been there, but I would love to go there and try their food one day"
49,49,[usr] I visited an orphan once and it was such a surreal moment. It made me realise how thankful I should be for a family,That must have been and intense and emotional moment for you.,I bet that was very heartwarming to see. I bet it also made you feel good to know that there are still good people in the world.,I bet that was very shocking for you.  I have never been in that situation so I can't relate.
50,50,[usr] I visited an orphan once and it was such a surreal moment. It made me realise how thankful I should be for a family [sys] That must have been and intense and emotional moment for you. [usr] Yes it definitely was. I went with intentions to teach the kid a few things but I ended up learning lots more from him,"Uau, what a surreal moment.I always believe kids have a lot to teach us.",I can only imagine. I am glad you were able to learn so much from that experience.,I can only imagine. I am glad you were able to learn something from him and I am sure he will remember that for the rest of his life.
51,51,"[usr] My oldest and my husband have always had a rough relationship. I've got to believe that as she gets older, it will get better!",I'm sure it will! I didn't get along with my dad until i became an adult.,"I have a hard time believing that as well, but it does seem like that's the case for a lot of people.","I agree with you.  My husband and I dealt with a lot of issues growing up, but it sounds like you guys have a good head on your shoulders."
52,52,"[usr] My oldest and my husband have always had a rough relationship. I've got to believe that as she gets older, it will get better! [sys] I'm sure it will! I didn't get along with my dad until i became an adult. [usr] That's always good to hear. But in the moment -- argh, my *heart*. How did your mom maneuver the differences between y'all? Did that wear on her?",Yes it did. I believe she just waited it out and tried to neutralize the conversation when we were together.,They didn't really have much in common. My dad was more of a workaholic and my mom was more home with the kids.,"Well, my dad was an alcoholic and my mom was a single parent, so it was really hectic."
53,53,"[usr] I can still look back with shame at the way I treated a girl in sixth grade. I wasn't as bad as others, but that doesn't make me feel any better.",Where you not secure in your self?,You shouldn't feel bad about something that happened back then. All that matters is that you have learned from it.,"Oh well, it's good that you have learned and are better now. Everyone makes mistakes."
54,54,"[usr] I can still look back with shame at the way I treated a girl in sixth grade. I wasn't as bad as others, but that doesn't make me feel any better. [sys] Where you not secure in your self? [usr] Well, like a lot of 6th graders I was aware of *not* wanting to be an outcast for any reason. And unfortunately, she was. As an adult of course, my heart squeezes for *all* the kids we were!","You can track her down to say sorry, or would that be creepy?",It's a part of life you just have to learn from it and move on. Do you still keep in touch with her?,"Im sorry to hear that. Im sure if you look back on it now,  you would be a better person for it."
55,55,"[usr] I can still look back with shame at the way I treated a girl in sixth grade. I wasn't as bad as others, but that doesn't make me feel any better. [sys] Where you not secure in your self? [usr] Well, like a lot of 6th graders I was aware of *not* wanting to be an outcast for any reason. And unfortunately, she was. As an adult of course, my heart squeezes for *all* the kids we were! [sys] You can track her down to say sorry, or would that be creepy? [usr] Unfortunately, she died. I only found out when Facebook first came out, and her brother and I friended one another.","Wow, so your going to take being a bad person to the grave. Maybe you'll see her in the next life?","Oh my goodness, that is so sad.  Did you ever find out who did it?","Oh my goodness, that is horrifying.  I am so sorry that happened to you."
56,56,[usr] I'm currently working for someone that is *such* a great example of a leader! It makes going into work inspiring every day / every way.,Lucky you! That is rare. Maybe one day people will think of you like that?,"That's great! What do you do at your job, if you don't mind me asking?",I bet it does. You are an inspiration to others. Keep up the good work.
57,57,"[usr] I'm currently working for someone that is *such* a great example of a leader! It makes going into work inspiring every day / every way. [sys] Lucky you! That is rare. Maybe one day people will think of you like that? [usr] That's a very kind statement, and certainly what I would strive for. And it's the rarity that *inspires* me. That should be the norm, not the exception! THAT'S what I'd like to inspire in people. How about you?",I have something totally different. My boss is clueless to the world and have no business being a leader.,I would like to be a part of something that inspires others. That would be great!,I would like to be a part of something that inspires others. That would be great.
58,58,"[usr] I'm currently working for someone that is *such* a great example of a leader! It makes going into work inspiring every day / every way. [sys] Lucky you! That is rare. Maybe one day people will think of you like that? [usr] That's a very kind statement, and certainly what I would strive for. And it's the rarity that *inspires* me. That should be the norm, not the exception! THAT'S what I'd like to inspire in people. How about you? [sys] I have something totally different. My boss is clueless to the world and have no business being a leader. [usr] That is soul-sapping. What do you do to inspire yourself, and not let that kind of behavior drag you down?",Well I've been in the business all my life and have worked for some great people. So I pull from what I learned from them.,I'm a freelancer so I can do whatever I want. I don't have to deal with a boss!,I watch a lot of Youtube and try to be the best I can be at my job.
59,59,[usr] My friend's baby has grown so much since the last time I had seen her!,It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often?,That is so nice! How old is she and how much longer is she going to be?,That must be so hard to see someone you used to know so well but so happy to see them grow!
60,60,"[usr] My friend's baby has grown so much since the last time I had seen her! [sys] It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often? [usr] It had been about 8 weeks - I don't get out her way often, even though we live 30 minutes away.",That is how life goes! Different schedules and demands -- I'm sure she's so thrilled when she *does* get to see you!,"That's hard, especially not being able to physically see them. I hope you get to see her soon!",Wow that is pretty far. I bet you miss her a lot. At least you can face time or skype or something!
61,61,[usr] Running my first (and maybe only!) marathon felt like *such* a huge accomplishment!,"Wow, that is an amazing accomplishment!  Congratulations!  You gotta be feeling like you're on top of the world after that!",I bet it did.  How long did you train for it.  and congrats,"Wow, you must have trained really hard for it. It must have felt great when you finished."
62,62,"[usr] Running my first (and maybe only!) marathon felt like *such* a huge accomplishment! [sys] Wow, that is an amazing accomplishment!  Congratulations!  You gotta be feeling like you're on top of the world after that! [usr] Ah, it was the best! Plus it helped that I purposely chose an amazing destination in which to run it -- it was the Venice Marathon!","My first thought was California but then there's Venice [Italy] and then either way, that's an amazing destination!",That is awesome that you were able to choose a destination.  Did you do any training for it?,I did not know they had one in vegas!  That must have been so fun!
63,63,"[usr] Running my first (and maybe only!) marathon felt like *such* a huge accomplishment! [sys] Wow, that is an amazing accomplishment!  Congratulations!  You gotta be feeling like you're on top of the world after that! [usr] Ah, it was the best! Plus it helped that I purposely chose an amazing destination in which to run it -- it was the Venice Marathon! [sys] My first thought was California but then there's Venice [Italy] and then either way, that's an amazing destination! [usr] We were living overseas at the times -- the most impressive part was crossing the Grand Canal over a pontoon of boats to finish the marathon ;-)","Oh, wow.  Not only to be able to do all the running but to view the scenery!",Oh my goodness! How did you manage to do that? I don't think I could do it.,"Oh my gosh, that IS impressive! I don't think I'd be able to do that in one sitting."
64,64,[usr] I recently found out that a person I very much intimately admired did not feel the same way for me. I was pretty surprised.,I'm sorry to hear that! How did you find out?,That would be pretty shocking.  I'm glad you found out though.  How did they respond?,"Oh no, I'm sorry to hear that. I assume they did not reconcile with you?"
65,65,[usr] I recently found out that a person I very much intimately admired did not feel the same way for me. I was pretty surprised. [sys] I'm sorry to hear that! How did you find out? [usr] She just started treating me differently all of a sudden. And now she is going to be moving away soon.,"That's a real bummer, but as they say, there are plenty of fish in the sea!",That's really hard. I hope you can find someone just as great as her someday.,"Well, that's not so bad. At least now you'll have something to look forward to when she comes back."
66,66,[usr] I'm always appalled when I see bullying in action -- whether it's on a playground or political stage -- not much makes me angrier.,I feel the same way.,"It is appalling no matter how petty it is, it is never a good thing.",I know exactly what you mean. I've been in that position and it's not a good thing.
67,67,"[usr] I'm always appalled when I see bullying in action -- whether it's on a playground or political stage -- not much makes me angrier. [sys] I feel the same way. [usr] How do you channel the anger? Obviously, it too easily turns into the same kind of negative emotion I'm upset about -- so that can feel hypocritical!",I practice boxing. I love to punch the sandbags.It is very therapeutic.,I don't really have a method of dealing with it. I just try to stay away from it.,I don't really. I just deal with it because I know how much it stinks.
68,68,[usr] One morning my mother came to my house to pick my daughter up for school and told me she saw my daughter's cat on the road and he had been hit. I had to tell my daughter about the loss of her beloved pet.,Oh no that is terrible!  How did your daughter take it?,Oh my goodness! That's awful! What did your daughter say after you told her?,"Oh no, that's awful! I hope your daughter wasn't too traumatised."
69,69,"[usr] One morning my mother came to my house to pick my daughter up for school and told me she saw my daughter's cat on the road and he had been hit. I had to tell my daughter about the loss of her beloved pet. [sys] Oh no that is terrible!  How did your daughter take it? [usr] She was around 11, so she took it very hard. I went ahead and let her stay home from school, as I knew she wouldn't do well that day.",Oh poor thing.  I hope she is doing better now.  Losing a pet is extremely hard!,That was a good decision by you.  It must have been so hard for your daughter.  How is she doing now?,I can't imagine how hard that was.  I hope your daughter is doing better now.
70,70,[usr] I was soooo excited to take our kids to Disneyland for the first time!,"ooo they are gonna love it, just its expensive, I remember when it was only $20 to get in.",That sounds like a lot of fun! What was your favorite thing to do while you were there?,That sounds like a lot of fun! I've only been a couple of times but it was great
71,71,"[usr] I was soooo excited to take our kids to Disneyland for the first time! [sys] ooo they are gonna love it, just its expensive, I remember when it was only $20 to get in. [usr] Same! I was excited because I grew up going there. My grandparents lived in Tucson, and we would spend the summers with them -- the most exciting part being our drive to Disneyland each year!",Which one are you going to California or Florida ?,"Oh that sounds so fun, I live in Orlando and I know what you mean, it really is the best place ever!","I bet, it really is like a whole different world when you are inside the parks!"
72,72,[usr] I recently spoke to my father for the first time in years. It reminded me of my childhood and the distant past.,Cool.  Somethings never change.  What did you reflect upon?,I bet that was a nice reunion. I'm sure you had a lot of good memories.,I bet that was a nice reunion. I'm sure you had a lot of good memories.
73,73,[usr] I recently spoke to my father for the first time in years. It reminded me of my childhood and the distant past. [sys] Cool.  Somethings never change.  What did you reflect upon? [usr] We spoke about our recent lives. Apparently he is in the market for a new car.,"Yeah, I miss my dad.  He died several years ago.  What kind of car is he looking for?",Car salesmen are some of the most slepty people.  Watch out!  What kind of car is it?,That's cool.  I think the most important thing is you have a good relationship with your father.
74,74,[usr] Do you like to organize your house.  My mother-in-law recently surprised me recently with some organizing stuff b/c she knows how much I love it!,I'm trying to get into it. we have our first baby on the way and need to reorganize everything. Do you have tips?,I do like to keep my house tidy. It makes me feel more at ease.,I do like to keep my house tidy. It makes me feel more at ease.
75,75,[usr] Do you like to organize your house.  My mother-in-law recently surprised me recently with some organizing stuff b/c she knows how much I love it! [sys] I'm trying to get into it. we have our first baby on the way and need to reorganize everything. Do you have tips? [usr] Labels and Bins can be your best friend!  Especially with a new baby.,My big thing is i'm like O' I may need that leave it out of the tote box. Before I know it I have more stuff laying around then when I started.,babysitting is something i've been considering for a long time. do you have any good tips?,"babysitting is something i've been wanting to do for a long time, so i'm really looking forward to it."
76,76,[usr] I find it odd -- and annoying -- when people don't respond to or even acknowledge emails.,"Well, sometimes people are busy and don't have the time to check emails","That is rude of them, they have to be more considerate of the other people around them.","Yeah it is rude, they should at least leave a note so that it is not ignored."
77,77,"[usr] I find it odd -- and annoying -- when people don't respond to or even acknowledge emails. [sys] Well, sometimes people are busy and don't have the time to check emails [usr] It would be great if there was a way we could all tell the best way to reach someone -- I know some people prefer texts to emails -- but if you're in a work situation, how do you ensure communication?","Text and emails are still the best option., until a nw way is created.","That's a good question. I know there are apps for texting, but I'm not sure how that works.","Well, texting and calling are faster and easier, but there are other ways to tell people what to do"
78,78,[usr] I recently had a big argument with my sister. We both got very upset and angry at each other.,Isn't that what sisters are for?  What were you guys upset about?,I hate when that happens. Maybe you should sit down and have a serious talk with her.,I hate when that happens.  My sister and I don't get along as well as we used to.
79,79,[usr] I recently had a big argument with my sister. We both got very upset and angry at each other. [sys] Isn't that what sisters are for?  What were you guys upset about? [usr] I'm not so sure. We just had a discussion that heated and became an argument with tempers flying.,"Maybe once you feel like you can bring it up again, you can try to approach the topic from another angle.",I see. Well maybe you guys can talk it out and come out of it as adults.,Tempers flying?  I've never heard of that.  What's the argument about?
80,80,"[usr] I felt most lonely when we first moved overseas, my husband then had to travel out of *that* country for business -- AND I had a new baby!",Congratulations! Where did you travel from and where did you end up?,I can understand your feelings. I have felt the same way when my wife had to leave the country for work.,"Wow, I can only imagine the feelings you must have felt. It must have been very hard for you and your husband."
81,81,"[usr] I felt most lonely when we first moved overseas, my husband then had to travel out of *that* country for business -- AND I had a new baby! [sys] Congratulations! Where did you travel from and where did you end up? [usr] From Santa Fe to Hong Kong -- ultimately a fantastic adventure. And I ended up with a wonderful group of friends. Expats bond quickly!","That must have been quite the culture shock, glad it all worked out though!",I would imagine it was an amazing experience. How long were you there for? Did you meet anyone special while you were there?,I would love to go to Korea one day. I'm glad you had a great time.
82,82,[usr] One of the saddest things to me is when people underestimate what they can do and/or are capable of.,"I know, that actually happens to me sometimes! Last year I didn't get accepted into this fellowship and for a couple of weeks I was underestimating myself a lot.",I couldn't agree more. It's like you take the words out of someone else's mouth.,I couldn't agree more. It's like you take the words out of someone else's mouth.
